epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,200.793,2.45716,3.04076,0.00371,0.2996,0.1615,0.12441,0.06448,2.28902,1.97078,0.00436,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,332.043,2.38331,2.09539,0.00328,0.27496,0.20874,0.1804,0.09698,2.24701,1.80395,0.00416,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,468.598,2.38442,1.95113,0.00324,0.28011,0.23396,0.19757,0.10586,2.24792,1.84877,0.00413,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,577.242,2.36219,1.85818,0.00321,0.31165,0.25301,0.21839,0.11739,2.22315,1.70599,0.00404,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1558.52,2.33506,1.78639,0.00316,0.33128,0.2532,0.22977,0.12266,2.26175,1.68846,0.00404,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1682.43,2.32891,1.73662,0.00309,0.34585,0.25926,0.23734,0.1264,2.23931,1.66374,0.00414,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1797.69,2.30846,1.70084,0.00306,0.3421,0.2626,0.24527,0.13474,2.17959,1.65664,0.00392,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1910.2,2.29104,1.67019,0.00301,0.34553,0.26985,0.24581,0.13155,2.21877,1.65046,0.00391,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2022.21,2.27141,1.64485,0.00298,0.36678,0.28189,0.26602,0.14388,2.16427,1.5836,0.00389,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2135.27,2.26843,1.63174,0.00294,0.35294,0.27898,0.25968,0.14119,2.16127,1.62374,0.00384,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2246.74,2.24779,1.61246,0.00293,0.36192,0.28757,0.27155,0.14714,2.1505,1.61135,0.0038,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2944.31,2.24012,1.6063,0.00291,0.3582,0.27947,0.25842,0.14324,2.14687,1.60699,0.00383,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3065.15,2.22931,1.58824,0.00291,0.39077,0.28894,0.28044,0.15352,2.10307,1.5469,0.00374,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
