epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2530.76,1.55306,1.09604,0.91071,0.4142,0.3112,0.30952,0.17545,1.48037,1.06483,0.90435,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2609.29,1.54506,1.0913,0.90938,0.40432,0.31481,0.31141,0.17707,1.467,1.04849,0.90354,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2688.25,1.54261,1.08286,0.90929,0.41192,0.31653,0.31387,0.1768,1.47606,1.05134,0.90307,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2767.48,1.54275,1.07972,0.90892,0.43379,0.31306,0.3161,0.17951,1.46722,1.04387,0.90379,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2846.29,1.53252,1.07763,0.90829,0.40999,0.31687,0.31208,0.17648,1.4655,1.04479,0.90033,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2925.33,1.53589,1.07171,0.90706,0.42234,0.32121,0.31668,0.17901,1.46212,1.04032,0.90253,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3003.97,1.53968,1.07698,0.9085,0.43333,0.31298,0.31799,0.18037,1.45802,1.03877,0.90066,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3082.39,1.5353,1.07336,0.90746,0.41894,0.32677,0.32209,0.18242,1.45533,1.03404,0.89906,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3160.83,1.52393,1.06494,0.90603,0.42287,0.32244,0.3174,0.18005,1.45353,1.03704,0.90033,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3239.99,1.51603,1.05604,0.90543,0.42289,0.32155,0.31926,0.18118,1.45271,1.02692,0.89848,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3318.81,1.52493,1.06139,0.90495,0.4195,0.3268,0.31985,0.1811,1.45177,1.03066,0.89864,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3397.42,1.51872,1.06075,0.90466,0.41557,0.3272,0.32199,0.18318,1.44929,1.02896,0.89928,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3476.12,1.523,1.05013,0.90094,0.43022,0.32473,0.32428,0.18461,1.44816,1.02527,0.89831,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3556.79,1.51534,1.05152,0.90303,0.4302,0.33006,0.326,0.18613,1.44781,1.01936,0.89808,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3625.99,1.51374,1.04529,0.90423,0.42268,0.33199,0.3259,0.18677,1.4446,1.02217,0.89712,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
