epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,188.699,2.39851,3.29106,0.00488,0.32366,0.1462,0.08683,0.04285,2.41841,2.15954,0.00447,0.00998148,0.00332716,0.00998148,0.00332716,0.00998148,0.00332716,0.00998148,0.00332716
2,308.945,2.36418,2.47303,0.00442,0.36067,0.17053,0.10437,0.05854,2.39232,2.95373,0.0045,0.0199767,0.00665888,0.0199767,0.00665888,0.0199767,0.00665888,0.0199767,0.00665888
3,416.61,2.39624,2.38476,0.00451,0.36526,0.16111,0.10362,0.05491,2.51998,2.62055,0.00496,0.0299525,0.00998416,0.0299525,0.00998416,0.0299525,0.00998416,0.0299525,0.00998416
4,526.443,2.43397,2.36228,0.00463,0.3683,0.13515,0.09127,0.04995,2.48857,2.69288,0.00505,0.0299348,0.00997825,0.0299348,0.00997825,0.0299348,0.00997825,0.0299348,0.00997825
5,635.726,2.41278,2.29857,0.00456,0.35833,0.15767,0.1119,0.05897,2.46823,2.22551,0.00488,0.0298841,0.00996136,0.0298841,0.00996136,0.0298841,0.00996136,0.0298841,0.00996136
6,744.586,2.40113,2.22033,0.00453,0.36965,0.16298,0.12112,0.06633,2.3893,2.1681,0.00464,0.029819,0.00993967,0.029819,0.00993967,0.029819,0.00993967,0.029819,0.00993967
7,866.632,2.37058,2.14506,0.00441,0.26332,0.1757,0.12218,0.06579,2.41589,2.17138,0.00464,0.0297396,0.00991321,0.0297396,0.00991321,0.0297396,0.00991321,0.0297396,0.00991321
8,995.955,2.3612,2.10833,0.00436,0.27634,0.16826,0.1289,0.07182,2.35707,2.1104,0.00455,0.029646,0.00988199,0.029646,0.00988199,0.029646,0.00988199,0.029646,0.00988199
9,1117.88,2.33509,2.05643,0.0043,0.3847,0.17387,0.12665,0.06924,2.40393,2.12934,0.00472,0.0295382,0.00984606,0.0295382,0.00984606,0.0295382,0.00984606,0.0295382,0.00984606
10,1240.15,2.33338,2.03851,0.00429,0.29775,0.19762,0.14684,0.07989,2.3438,1.9827,0.00451,0.0294163,0.00980544,0.0294163,0.00980544,0.0294163,0.00980544,0.0294163,0.00980544
11,1360.08,2.31551,2.01161,0.00424,0.24703,0.19919,0.14975,0.08118,2.33639,1.9748,0.00447,0.0292805,0.00976018,0.0292805,0.00976018,0.0292805,0.00976018,0.0292805,0.00976018
12,1482.28,2.31192,1.99697,0.00424,0.26585,0.2066,0.1645,0.08887,2.31221,1.93171,0.00439,0.0291309,0.00971032,0.0291309,0.00971032,0.0291309,0.00971032,0.0291309,0.00971032
13,1601.35,2.29093,1.96056,0.00418,0.31981,0.20538,0.16784,0.09179,2.29155,1.92327,0.00433,0.0289677,0.0096559,0.0289677,0.0096559,0.0289677,0.0096559,0.0289677,0.0096559
14,1727.44,2.28385,1.93235,0.00414,0.27931,0.19874,0.175,0.09739,2.2612,1.86899,0.00428,0.028791,0.009597,0.028791,0.009597,0.028791,0.009597,0.028791,0.009597
15,1833.42,2.27562,1.90743,0.0041,0.26798,0.20847,0.17319,0.09716,2.28158,1.86584,0.00446,0.028601,0.00953365,0.028601,0.00953365,0.028601,0.00953365,0.028601,0.00953365
16,1938.86,2.25925,1.88087,0.00407,0.26935,0.21407,0.18336,0.10074,2.23651,1.83215,0.00427,0.0283978,0.00946593,0.0283978,0.00946593,0.0283978,0.00946593,0.0283978,0.00946593
17,2046.74,2.2523,1.86298,0.00404,0.29802,0.21227,0.17862,0.09853,2.25688,1.83423,0.00422,0.0281817,0.0093939,0.0281817,0.0093939,0.0281817,0.0093939,0.0281817,0.0093939
18,2152.65,2.24671,1.84294,0.00402,0.26284,0.21949,0.18346,0.10122,2.23845,1.80901,0.00414,0.0279529,0.00931764,0.0279529,0.00931764,0.0279529,0.00931764,0.0279529,0.00931764
19,2258.03,2.23573,1.83116,0.00397,0.28634,0.20758,0.18193,0.10158,2.22972,1.7952,0.00416,0.0277116,0.00923721,0.0277116,0.00923721,0.0277116,0.00923721,0.0277116,0.00923721
