epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,442.011,2.03139,3.36775,0.0035,0.54833,0.16206,0.12684,0.07077,1.94681,2.12409,0.00336,0.00999536,0.00333179,0.00999536,0.00333179,0.00999536,0.00333179,0.00999536,0.00333179
2,787.877,2.00609,2.56531,0.00336,0.32961,0.19941,0.16824,0.09797,1.94191,1.9349,0.00339,0.0197974,0.00659914,0.0197974,0.00659914,0.0197974,0.00659914,0.0197974,0.00659914
3,1123.76,2.04499,2.35035,0.00348,0.43577,0.20306,0.17479,0.10042,2.01479,1.98213,0.00365,0.0294015,0.00980049,0.0294015,0.00980049,0.0294015,0.00980049,0.0294015,0.00980049
4,1458.94,2.07691,2.25779,0.00357,0.3336,0.20704,0.17932,0.10347,2.02629,1.97255,0.00367,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1791.56,2.06609,2.14331,0.00352,0.31642,0.21776,0.18028,0.10495,1.99854,1.98529,0.00363,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2124.11,2.05003,2.06286,0.0035,0.47692,0.2021,0.19224,0.114,2.04059,1.96068,0.0037,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2457.68,2.03206,2.01007,0.00345,0.34302,0.23654,0.19788,0.11721,1.98052,1.8909,0.00358,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2788.25,2.02364,1.95376,0.00339,0.36294,0.23435,0.20437,0.12314,1.95191,1.85475,0.00353,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3118.53,2.00079,1.90587,0.00334,0.39748,0.23956,0.22286,0.13219,1.94477,1.82505,0.00346,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3451.07,1.99266,1.88103,0.00334,0.31623,0.22367,0.2173,0.12946,1.9676,1.83732,0.00345,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3781.9,1.9885,1.84897,0.00332,0.371,0.25868,0.23388,0.13857,1.92836,1.79179,0.00342,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4111.8,1.97486,1.82348,0.00329,0.39648,0.24561,0.23278,0.13892,1.92126,1.77917,0.00341,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
