epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,224.963,2.46684,2.97363,0.00371,0.32305,0.177,0.12938,0.06677,2.28112,1.92893,0.00421,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,383.137,2.38648,2.09517,0.00331,0.32397,0.22135,0.18101,0.09676,2.21909,1.79175,0.00409,0.0197882,0.00659608,0.0197882,0.00659608,0.0197882,0.00659608,0.0197882,0.00659608
3,529.289,2.3859,1.96223,0.00325,0.29184,0.23475,0.19674,0.10653,2.24447,1.7848,0.00416,0.0293924,0.00979746,0.0293924,0.00979746,0.0293924,0.00979746,0.0293924,0.00979746
4,690.323,2.36671,1.87268,0.00326,0.32197,0.23622,0.21298,0.11752,2.22731,1.75488,0.00402,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,851.489,2.34126,1.79591,0.00317,0.33645,0.24866,0.23269,0.12795,2.16438,1.67867,0.00391,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1012.07,2.32581,1.75112,0.00312,0.34336,0.26362,0.24162,0.13171,2.19761,1.65508,0.00397,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1172.43,2.30041,1.71841,0.00307,0.33934,0.27273,0.24809,0.13725,2.13316,1.61997,0.00381,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1332.92,2.2941,1.70209,0.00305,0.35296,0.2721,0.25208,0.13757,2.1439,1.59754,0.00386,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1497.28,2.27619,1.67739,0.00304,0.35594,0.27032,0.25445,0.14114,2.12309,1.64542,0.00379,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1657.88,2.27126,1.65618,0.00298,0.36621,0.27411,0.25946,0.14253,2.13222,1.58379,0.00379,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1818.08,2.2609,1.64348,0.00295,0.35888,0.28294,0.26807,0.14707,2.12391,1.55978,0.00377,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1978.93,2.24777,1.62506,0.00296,0.36254,0.28353,0.26471,0.14531,2.11064,1.57161,0.00375,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2140.44,2.2485,1.61987,0.00291,0.39135,0.29114,0.28203,0.15586,2.10188,1.53938,0.00373,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2301.52,2.23013,1.60256,0.00292,0.39613,0.2851,0.27655,0.15326,2.09065,1.54645,0.0037,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2460.59,2.22988,1.5859,0.00287,0.3811,0.30109,0.28545,0.15614,2.08837,1.52922,0.0037,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2620.2,2.22713,1.5846,0.00288,0.38533,0.29426,0.28298,0.15644,2.08663,1.52854,0.00369,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2778.28,2.21373,1.57734,0.00287,0.40724,0.29185,0.28827,0.1596,2.0744,1.53122,0.00366,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2936.93,2.21601,1.56975,0.00285,0.38726,0.30244,0.28787,0.15817,2.08968,1.52374,0.00367,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3095.42,2.19412,1.55601,0.00284,0.39984,0.30826,0.29516,0.16265,2.07705,1.50235,0.00366,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3253.25,2.20271,1.55362,0.00284,0.4104,0.3036,0.29836,0.16419,2.06717,1.49581,0.00366,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3411.22,2.18568,1.53701,0.00281,0.39165,0.30155,0.29454,0.16333,2.05801,1.50695,0.00362,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3569.47,2.19068,1.54138,0.00281,0.38901,0.29953,0.29166,0.15987,2.06809,1.50013,0.00364,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3727.81,2.18542,1.5382,0.0028,0.40165,0.30751,0.3005,0.16487,2.07132,1.48491,0.00364,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
