epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2970.96,1.59145,1.14208,0.91682,0.39267,0.30369,0.29413,0.16489,1.50764,1.09752,0.90897,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3062.43,1.58685,1.13859,0.91684,0.41758,0.29994,0.29902,0.16774,1.5001,1.08504,0.90691,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3153.44,1.58351,1.12988,0.91565,0.40217,0.3121,0.30054,0.16837,1.49812,1.07847,0.90597,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3244.93,1.57955,1.1242,0.9139,0.40156,0.31263,0.30395,0.17054,1.50083,1.07765,0.90612,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3335.9,1.57251,1.12433,0.91478,0.40739,0.31107,0.30087,0.16981,1.4919,1.07293,0.90594,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3427.57,1.57524,1.11643,0.91378,0.41644,0.31257,0.30633,0.17099,1.48704,1.07035,0.90321,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3518.6,1.57897,1.12191,0.91444,0.41535,0.31114,0.30915,0.17359,1.48904,1.06989,0.90397,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3609.24,1.57333,1.11813,0.91367,0.4203,0.31473,0.31181,0.17613,1.48152,1.06382,0.90299,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3700.51,1.56237,1.11039,0.91206,0.42218,0.31791,0.31164,0.17664,1.47718,1.05837,0.90268,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3792.24,1.55374,1.10209,0.91156,0.43147,0.3149,0.31254,0.17716,1.47832,1.0607,0.90221,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3883.49,1.56308,1.10614,0.91133,0.41559,0.3157,0.31176,0.17631,1.47503,1.0618,0.90131,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3974.77,1.55669,1.10315,0.91088,0.41665,0.3139,0.31248,0.17696,1.47553,1.05544,0.90275,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4066.69,1.56027,1.09555,0.90723,0.43626,0.31127,0.31176,0.17633,1.47461,1.05786,0.90215,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4158.53,1.55288,1.09799,0.90917,0.42635,0.31903,0.31653,0.18014,1.46955,1.05233,0.90114,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4250.57,1.55011,1.09188,0.9099,0.43427,0.3158,0.31745,0.18055,1.46671,1.05091,0.90002,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4342.44,1.55737,1.09872,0.9102,0.43433,0.31661,0.31638,0.17786,1.47468,1.05535,0.90061,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4434.18,1.54848,1.08699,0.90821,0.41983,0.32005,0.3145,0.17819,1.4642,1.04834,0.89873,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4525.87,1.54463,1.08703,0.90572,0.41826,0.32132,0.31673,0.18027,1.46721,1.05112,0.89968,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
