epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11974.4,1.2535,0.77315,0.88231,0.55363,0.4338,0.45427,0.27556,1.23602,0.81879,0.8867,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12345.1,1.25646,0.77594,0.88556,0.55731,0.43064,0.45244,0.27388,1.23565,0.82289,0.8867,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12714.4,1.25989,0.77044,0.88227,0.56164,0.43606,0.45467,0.27527,1.22767,0.81765,0.88409,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13084,1.25187,0.76578,0.8797,0.55526,0.43681,0.45323,0.27529,1.22912,0.81402,0.88432,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,13453.1,1.25134,0.76381,0.88162,0.55779,0.42959,0.4527,0.2756,1.22728,0.81503,0.88367,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13823.6,1.24266,0.75601,0.88003,0.56322,0.42237,0.45189,0.27456,1.22167,0.81861,0.88148,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,14193.3,1.2429,0.75397,0.87994,0.58129,0.42943,0.45755,0.27869,1.22138,0.81193,0.8817,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,14563.7,1.24235,0.75048,0.87777,0.54927,0.43533,0.45543,0.27712,1.22695,0.82182,0.8829,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14933.6,1.23084,0.7409,0.87546,0.56089,0.43599,0.45948,0.27881,1.22567,0.81257,0.88405,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,15304.2,1.22354,0.73072,0.87483,0.56776,0.43186,0.45618,0.27778,1.21927,0.81619,0.88168,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15674.5,1.22029,0.72999,0.87562,0.56491,0.43088,0.45892,0.27926,1.22715,0.81092,0.88254,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,16045.6,1.2244,0.72734,0.87413,0.56322,0.43366,0.45793,0.27905,1.21627,0.81231,0.88101,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,16416.2,1.22161,0.72539,0.87287,0.55774,0.4401,0.45878,0.28043,1.22037,0.81475,0.88214,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16788.6,1.20626,0.71507,0.87343,0.56146,0.44023,0.46147,0.28211,1.21617,0.80673,0.88055,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,17160.8,1.21116,0.71229,0.8717,0.56663,0.44103,0.46212,0.28126,1.21586,0.81219,0.88194,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,17531.6,1.21053,0.71034,0.87143,0.56498,0.439,0.46229,0.28283,1.21361,0.80603,0.88053,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17903,1.19336,0.70019,0.86976,0.55965,0.44601,0.46463,0.28361,1.20932,0.80945,0.87947,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,18274.9,1.19321,0.69967,0.8676,0.56678,0.443,0.46418,0.28309,1.21223,0.80711,0.88051,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,18646.5,1.19888,0.69741,0.86839,0.56101,0.4369,0.462,0.28286,1.21563,0.80793,0.88082,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,19017.4,1.19077,0.6881,0.86798,0.57209,0.43237,0.46143,0.28236,1.21442,0.81251,0.8802,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,19387.9,1.19069,0.68927,0.86495,0.56358,0.44581,0.4646,0.2834,1.21604,0.81191,0.88125,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19757.9,1.18617,0.68267,0.86598,0.57527,0.44234,0.468,0.286,1.21322,0.80389,0.88209,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,20128.7,1.18493,0.68045,0.86541,0.57418,0.4411,0.46631,0.28493,1.21127,0.80648,0.88086,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,20499.3,1.1885,0.68148,0.86621,0.57496,0.44235,0.46601,0.28489,1.21268,0.80773,0.88071,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,20869.4,1.17372,0.67236,0.86419,0.57804,0.438,0.46689,0.28559,1.21408,0.8112,0.88158,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,21239.5,1.17093,0.66618,0.86213,0.58068,0.44129,0.46776,0.28607,1.20803,0.80958,0.88174,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,21609.7,1.16541,0.6626,0.86355,0.56841,0.4432,0.46651,0.28453,1.2092,0.81033,0.88137,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
